FID,OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUND,DATAQUALIT,FLAGS,SegStatus,CreateDate,Creator,ModifiedDa,ID,STUDY_TITL,COMPKEY_1,UNIT_ID_UN,DIR_FLOW,LANE,DAYS,Min_NORM_A,Max_NORM_A,Ave_NORM_A,Shape_Leng,ADJUST,Shape__Length
1380,0,"17305,17317,17303,17307,17315,17306,17316,337148,17302,17312,17299,17300,17313,17311,17318,17308,17301,17314,17310,17304,18055,18054","NE 65TH ST,NE PRINCETON WAY",1614,N,3/2/2020 12:00:00 AM,359,407,4214,4016,4300,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334307,"NE 65TH ST, E/O 48TH AVE NE",17307,13465/0480,TOTAL,STANDARD,7,0,0,0,5627.93225361, ,5627.93225361178
1381,0,2028,15TH AVE NE,1363,N,1/23/2020 12:00:00 AM,1028,1116,13563,11847,10200,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,333673,"15TH AVE NE, N/O NE PACIFIC ST",2028,00555/0390,TOTAL,STANDARD,7,0,0,0,878.010611536, ,878.010611548499
1382,0,"7442,7441,7443,7445,7444,7446,13608,13607","50TH AVE S,WILSON AVE S",312,N,5/27/2020 12:00:00 AM,358,576,5841,5442,7200,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334947,"50TH AVE S, S/O S OREGON ST",7442,03980/0450,TOTAL,STANDARD,7,0,0,0,3407.86793197, ,3407.86793197309
1383,0,"15549,15548",N 45TH ST,1460,N,4/9/2020 12:00:00 AM,1019,1025,13192,12858,20200,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334601,"N 45TH ST, E/O BURKE AVE N",15549,12125/0190,TOTAL,STANDARD,7,0,0,0,634.907859294, ,634.90785929366
1384,0,"11647,11645,11644,11648,11646",MARINE VIEW DR SW,64,N,4/8/2020 12:00:00 AM,169,272,2812,2694,4300,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334596,"MARINE VIEW DR SW, SE/O SW 102ND ST",11646,08430/1020,TOTAL,STANDARD,7,0,0,0,2737.49342212, ,2737.49342212553
1385,0,"9390,9391,11281,11282","BOYLSTON AVE E,LAKEVIEW BLVD E",1994,N,4/22/2020 12:00:00 AM,379,512,6023,5698,9200,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334693,"BOYLSTON AVE E, S/O E LYNN ST",9391,05625/0220,TOTAL,STANDARD,7,0,0,0,1994.66052927, ,1994.66052925906
1386,0,"14600,14601,14602",E PIKE ST,914,N,1/23/2020 12:00:00 AM,377,421,6220,6179,4700,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,333666,"E PIKE ST, E/O 10TH AVE",14601,11465/0100,TOTAL,STANDARD,7,0,0,0,972.964907594, ,972.964907608725
1387,0,"47326,18094",NE RAVENNA BLVD,1586,N,7/17/2020 12:00:00 AM,108,151,1620,1577,1700,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335416,"NE RAVENNA WB BV, NW/O 17TH AVE NE",18094,14018/0160,NW,STANDARD,7,0,0,0,633.773219962, ,633.773219975382
1388,0,"5475,5476,5474,5473,5477,5472,5471",35TH AVE SW,142,N,2/20/2020 12:00:00 AM,1139,1336,16358,15719,11700,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334058,"35TH AVE SW, S/O SW HOLDEN S ST",5471,02720/0770,TOTAL,STANDARD,7,0,0,0,1852.25115729, ,1852.25115729071
1389,0,"20912,21051,21050,21052,20900,20902,20901,20903","S MYRTLE ST,S OTHELLO ST,S MYRTLE PL",180,N,4/15/2020 12:00:00 AM,429,624,7255,6843,11100,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334638,"S MYRTLE PL, SE/O S MYRTLE ST",20900,16630/0320,TOTAL,STANDARD,7,0,0,0,3809.62299351, ,3809.62299351523
