FID,OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUND,DATAQUALIT,FLAGS,SegStatus,CreateDate,Creator,ModifiedDa,ID,STUDY_TITL,COMPKEY_1,UNIT_ID_UN,DIR_FLOW,LANE,DAYS,Min_NORM_A,Max_NORM_A,Ave_NORM_A,Shape_Leng,ADJUST,Shape__Length
1,3,10011,DENNY WAY,1051,B,6/21/2018 12:00:00 AM,1682,1599,24961,24976,24400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,253.922340808, ,253.922340823367
2,6,22297,SW HENDERSON ST,107,N,1/24/2018 12:00:00 AM,513,639,6873,6569,6900,Study, , ,, ,,0, ,0, , , ,0,0,0,0,280.810945825, ,280.810945824839
3,7,"8640,1501,23058,23059","9TH AVE W,11TH AVE W,W BARRETT ST",1291,N,11/17/2015 12:00:00 AM,0,0,3332,3219,3300,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1499.26716579, ,1499.26716579329
4,8,"20816,20815,20814",S MCCLELLAN ST,436,N,10/9/2018 12:00:00 AM,640,790,9081,8671,9100,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,787.671807154, ,787.671807169309
5,12,"14638,14639",E PINE ST,957,N,1/23/2018 12:00:00 AM,513,552,7380,7360,7400,Study, , ,, ,,0, ,0, , , ,0,0,0,0,644.215264513, ,644.215264498166
6,13,"16537,16538",NE 130TH ST,1901,N,5/1/2018 12:00:00 AM,2050,2161,27481,27224,25300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,845.483537426, ,845.483537440737
7,16,"13083,13079,13087,13082,13084,339870,334520,13080,13086,13081,13085,7277,7276,7275,7274","TAYLOR AVE N,5TH AVE N",1224,N,11/3/2015 12:00:00 AM,0,0,5778,5352,5800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,4626.61638313, ,4626.61638313034
8,18,9001,AURORA AVE N,1933,N,5/19/2015 12:00:00 AM,0,0,36039,33492,36000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,113.508989979, ,113.508989978577
9,19,16934,NE 50TH ST,1505,N,10/4/2018 12:00:00 AM,944,1210,14219,13615,14200,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,280.117261115, ,280.117261100216
10,21,"10077,10076",DEXTER AVE N,1149,N,6/22/2018 12:00:00 AM,1097,1432,18307,17720,17900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,311.401977187, ,311.401977187164
11,23,"10165,10164,10163",EASTLAKE AVE E,1966,N,1/9/2018 12:00:00 AM,664,855,8988,7897,9000,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1244.55785939, ,1244.55785938505
12,27,7879,6TH AVE,781,Y,7/26/2018 12:00:00 AM,1373,1070,16705,15866,16200,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,306.001341033, ,306.001341040615
13,28,8650,SEATTLE BLVD S,547,N,,0,0,16000,0,16000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,420.454585596, ,420.454585595815
14,29,"11662,11661",MARION ST,650,Y,7/18/2018 12:00:00 AM,501,582,7675,7523,7400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.059521784, ,322.059521797286
15,32,"7338,7337,7336",5TH AVE NE,1898,N,5/1/2018 12:00:00 AM,598,858,8299,7995,7600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,1325.40819004, ,1325.40819003623
16,33,1094,1ST AVE NE,1824,N,,0,0,12000,0,12000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,662.521706634, ,662.521706633648
17,34,"10346,10345,10347,10348",FAIRVIEW AVE N,1112,N,,0,0,17000,0,17000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1694.39127677, ,1694.39127676779
18,35,"19235,19234",NW MARKET ST,1572,N,1/31/2018 12:00:00 AM,664,759,10340,10461,10300,Study, , ,, ,,0, ,0, , , ,0,0,0,0,697.534429624, ,697.534429623564
19,36,"6256,6257,6261,6258,6260,6259",4TH AVE S,269,N,9/30/2015 12:00:00 AM,0,0,20541,17539,20500,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2940.91420897, ,2940.91420896927
20,37,8522,9TH AVE,941,Y,,0,0,2500,0,2500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,121.815210152, ,121.815210145255
21,38,"12625,12623",ROOSEVELT WAY NE,1943,N,11/17/2015 12:00:00 AM,0,0,11588,10773,11600,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,400.183135765, ,400.183135764434
22,40,11663,MARION ST,662,Y,7/18/2018 12:00:00 AM,314,338,4611,4568,4500,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,321.798449126, ,321.79844912619
23,41, ,15TH AVE W,1987,N,6/26/2018 12:00:00 AM,2356,3017,36897,35258,26000,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,1380.02120792, ,1380.02120792283
24,44,9321,BOREN AVE,984,B,10/4/2017 12:00:00 AM,2060,1583,25385,24991,25400,Study, , ,, ,,0, ,0, , , ,0,0,0,0,312.965212794, ,312.965212793782
25,46,14084,EAST GREEN LAKE WAY N,1682,N,10/25/2018 12:00:00 AM,1118,1050,12095,11872,12100,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,364.638822293, ,364.638822288232
26,47,7875,6TH AVE,714,Y,6/26/2018 12:00:00 AM,2847,2074,32206,30751,31400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,305.877615376, ,305.87761537646
27,48,"11904,11905",MONTLAKE BLVD E,1970,N,,0,0,22000,0,22000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,495.832472773, ,495.832472776314
28,50,8162,7TH AVE,968,Y,,0,0,3800,0,3800,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,125.486065108, ,125.486065118826
29,51,"20320,20319",S HOLGATE ST,488,N,7/25/2018 12:00:00 AM,924,987,12628,11866,12200,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,761.938188176, ,761.938188176295
30,52,"490131,9664",CHERRY ST,681,Y,3/11/2015 12:00:00 AM,0,0,8526,7584,8500,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,321.718193737, ,321.718193736712
31,54,11051,JAMES ST,633,Y,7/11/2018 12:00:00 AM,607,529,7486,6723,7300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.045953039, ,322.045953038716
32,55,"9988,9987",DELRIDGE WAY SW,114,N,4/24/2015 12:00:00 AM,0,0,15117,14604,15100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,695.2864919, ,695.28649189954
33,56,"7356,7358,7357,7223","5TH AVE S,5TH AVE",604,Y,2/26/2014 12:00:00 AM,0,0,5845,5373,5800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1135.05723152, ,1135.05723151997
34,62,2207,15TH AV W SB ON RP,1293,N,6/26/2018 12:00:00 AM,425,323,5107,4838,5000,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,707.55402011, ,707.554020111558
35,63,18081,NE RAVENNA BLVD,1684,N,1/10/2018 12:00:00 AM,297,427,4663,4625,4700,Study, , ,, ,,0, ,0, , , ,0,0,0,0,361.415235993, ,361.415235993833
36,65,"9832,9831,9830,9827,9829,9826,9828",CORSON AVE S,262,N,8/18/2015 12:00:00 AM,0,0,27593,24956,27600,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1725.82130744, ,1725.82130743351
37,67,"14070,10694,10698,10696,10697,10695,10693","EAST GREEN LAKE WAY N,GREEN LAKE WAY N",1573,N,5/18/2015 12:00:00 AM,0,0,18860,17875,18900,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1574.90422509, ,1574.90422509629
38,68,"11180,336351,11176,11179,11178,11177",LAKE CITY WAY NE,1868,N,10/20/2018 12:00:00 AM,2425,2656,34125,32558,36000,Estimate,WSDOTSR522, ,, ,,0, ,0, , , ,0,0,0,0,2198.43833444, ,2198.43833444442
39,70,1001,1ST AVE,637,Y,10/2/2017 12:00:00 AM,1313,886,13054,13050,13100,Study, , ,, ,,0, ,0, , , ,0,0,0,0,306.062164311, ,306.062164310849
40,71,10070,DEXTER AVE,1050,Y,11/3/2017 12:00:00 AM,769,756,11646,10827,11600,Study, , ,, ,,0, ,0, , , ,0,0,0,0,205.322051813, ,205.322051813424
41,72,"23356,11605,11604","W GALER ST,MAGNOLIA BR",1203,N,7/30/2015 12:00:00 AM,0,0,20000,9023,13000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2507.29824772, ,2507.29824771838
42,73,"13765,13764, 13766",YESLER WAY,606,Y,3/11/2015 12:00:00 AM,0,0,7215,6601,7200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1389.62848206, ,1389.62848204344
43,74,"7225,7224",5TH AVE,643,Y,,0,0,7000,0,7000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,611.261255499, ,611.261255491201
44,77,"11517,11516,11518",M L KING JR WAY S,471,N,10/9/2018 12:00:00 AM,1613,1567,19280,19092,19300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,2028.97781458, ,2028.97781457423
45,78,"14937,14936",E YESLER WAY,597,N,,0,0,10000,0,10000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,646.36838163, ,646.368381630349
46,79,"13335,13336,13334,19713,19712","WEST SEATTLE BR WB,S COLUMBIAN WAY",10,N,4/2/2015 12:00:00 AM,0,0,11959,11112,12000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3145.4063458, ,3145.40634580457
47,80,8766,SR99 NB,2023,N,6/9/2015 12:00:00 AM,0,0,28793,27081,28800,Study - 13-15,WSDOTSR99, ,, ,,0, ,0, , , ,0,0,0,0,1605.93511878, ,1605.93511878812
48,81,"8696,8693,8691,8694,8692,8695",AIRPORT WAY S,263,N,10/26/2017 12:00:00 AM,1972,1497,18809,17505,18800,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1588.2132408, ,1588.21324080946
49,83,"17258,17257",NE 65TH ST,1632,N,12/7/2017 12:00:00 AM,1323,1268,15473,15438,15500,Study, , ,, ,,0, ,0, , , ,0,0,0,0,443.279130611, ,443.279130625397
50,84,17256,NE 65TH ST,1634,N,,0,0,16000,0,16000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,117.916649054, ,117.916649053992
51,87,"16925,16924",NE 50TH ST,1517,N,10/31/2018 12:00:00 AM,1601,2114,26468,25938,26500,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,540.039236914, ,540.039236898986
52,88,8173,7TH AVE NE,1959,N,1/6/2015 12:00:00 AM,0,0,31969,30344,32000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,259.931362048, ,259.931362048826
53,89,"22522,503975",KLICKITAT AVE SW,416,N,8/29/2018 12:00:00 AM,503,448,4204,3249,4200,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,1217.66296844, ,1217.66296843541
54,90,"10947,10933,10934","HOLMAN RD NW,HOLMAN RD N",1831,N,,0,0,33500,0,33500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1629.42234, ,1629.42234000444
55,93,6122,4TH AVE,649,Y,8/14/2018 12:00:00 AM,2093,1874,23819,22548,23900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,306.999844549, ,306.999844549162
56,95,"12779,12780",SENECA ST,810,Y,9/22/2015 12:00:00 AM,0,0,6597,5714,6600,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,644.305936862, ,644.305936854764
57,96,2035,15TH AVE NE,1478,N,8/31/2017 12:00:00 AM,757,852,9327,8205,9300,Study, , ,, ,,0, ,0, , , ,0,0,0,0,664.526423488, ,664.526423487553
58,97,"10963,10964",HOWELL ST,1010,B,9/13/2018 12:00:00 AM,817,1460,15729,14482,16600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,645.234065753, ,645.234065756121
59,98,"2763,2764,2762",2ND AVE,951,Y,3/3/2015 12:00:00 AM,0,0,11274,10690,11300,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1278.38593162, ,1278.38593161668
60,101,18080,NE RAVENNA BLVD,1677,N,10/25/2018 12:00:00 AM,86,96,996,966,1000,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,350.050853141, ,350.050853130459
61,102,"9960,9961",DELRIDGE WAY SW,348,N,4/8/2015 12:00:00 AM,0,0,13965,12877,25000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1320.06450652, ,1320.06450651909
62,103,13522,WESTERN AVE W,1098,N,,0,0,35000,0,25000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,203.426443434, ,203.426443433819
63,107,"23558,23557,23559",W MCGRAW ST,1239,N,1/13/2015 12:00:00 AM,0,0,6051,5674,6100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,991.187955951, ,991.187955951029
64,109,12865,SPRING ST,759,Y,3/5/2015 12:00:00 AM,0,0,2738,2546,2700,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,324.341729877, ,324.341729877507
65,111,"17518,17516,17515,17517,17513,17514",NE 75TH ST,1707,N,,0,0,19500,0,19500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1327.85085096, ,1327.85085097784
66,112,19217,NW MARKET ST,1556,N,9/21/2017 12:00:00 AM,1476,1514,21978,21491,22000,Study, , ,, ,,0, ,0, , , ,0,0,0,0,719.950227258, ,719.950227251897
67,113,"17052,17055,17053,17051,17054",NE 55TH ST,1548,N,10/22/2015 12:00:00 AM,0,0,6794,6495,6800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1323.03942945, ,1323.03942943165
68,115,11583,MADISON ST,693,Y,6/15/2018 12:00:00 AM,625,409,6725,6523,6600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.062179963, ,322.062179975666
69,116,"12602,12608,12605,12601,12606,12603,12604,12607",ROOSEVELT WAY NE,1595,N,10/21/2014 12:00:00 AM,0,0,10242,9790,10200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2581.68874016, ,2581.68874015938
70,117,10185,EASTLAKE AVE NE,1961,N,,0,0,24000,0,24000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,225.306037243, ,225.306037249949
71,119,16930,NE 50TH ST,1511,N,10/4/2018 12:00:00 AM,1145,1542,18680,18176,18700,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,263.500927884, ,263.500927899122
72,120,14389,EAST MARGINAL WAY S,32,N,4/28/2015 12:00:00 AM,0,0,7804,5965,7800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,565.232956371, ,565.232956371696
73,121,12974,STROUD AVE N,1738,N,12/3/2015 12:00:00 AM,0,0,4035,3772,4000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,681.359368683, ,681.359368692623
74,122,"11501,11500",M L KING JR WAY S,590,N,6/13/2018 12:00:00 AM,1541,1596,20632,19367,20100,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,901.320560095, ,901.32056009235
75,124,"16863,16864,16865",NE 45TH ST,1430,N,,0,0,30500,0,28000,Estimate,WSDOTSR513, ,, ,,0, ,0, , , ,0,0,0,0,1405.60382363, ,1405.60382361432
76,126,"12527,12529,12528,12526,12525",RENTON AVE S,100,N,8/26/2015 12:00:00 AM,0,0,7248,7011,7200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2769.39520157, ,2769.39520156388
77,127,9120,BEACON AVE S,441,N,12/13/2017 12:00:00 AM,555,752,8695,8114,8700,Study, , ,, ,,0, ,0, , , ,0,0,0,0,361.990379594, ,361.990379585991
78,128,"13041,163547,13040,13039",SWIFT AVE S,245,N,10/16/2017 12:00:00 AM,1731,1714,23053,21696,23100,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1052.57664612, ,1052.57664613315
79,129,"16854,16853",NE 45TH ST,1442,N,7/28/2015 12:00:00 AM,0,0,19633,17490,19600,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,559.202343401, ,559.202343401251
80,133,"18973,18979,18976,18977,18978,18971,18974,18975,18970,18972",NW 85TH ST,1785,N,11/3/2015 12:00:00 AM,0,0,14842,14602,14800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2657.94661756, ,2657.94661756348
81,135,8718,ALASKAN WAY,632,Y,7/17/2018 12:00:00 AM,1070,969,13732,13382,13300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,304.246307319, ,304.246307318998
82,136,"11156,11153,11152,11155,11157,11154",LAKE CITY WAY NE,1796,N,,0,0,40000,0,34500,Estimate,WSDOTSR522, ,, ,,0, ,0, , , ,0,0,0,0,1923.13271324, ,1923.13271324437
83,137,"3726,3725,3727",25TH AVE NE,1620,N,10/22/2014 12:00:00 AM,0,0,15323,14746,15300,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2644.00853746, ,2644.00853745939
84,139,"7341,7339,7340",5TH AVE NE,1924,N,5/20/2015 12:00:00 AM,0,0,6990,6563,7000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3988.29727348, ,3988.29727348102
85,140,11941,MYERS WAY S,94,N,5/6/2015 12:00:00 AM,0,0,6196,5719,6200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2781.79481847, ,2781.79481847738
86,143,9394,BOYLSTON AVE E,1274,N,4/12/2018 12:00:00 AM,967,881,11684,11462,12000,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,477.600067978, ,477.600067982603
87,145,20298,S HOLDEN ST,149,N,,0,0,21500,0,0,Estimate,WSDOTSR99, ,, ,,0, ,0, , , ,0,0,0,0,327.231628438, ,327.231628453159
88,147,9661,CHERRY ST,648,Y,7/24/2018 12:00:00 AM,249,461,4050,3908,3900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.062677793, ,322.062677780045
89,149,14415,EAST MARGINAL WAY S,188,N,10/1/2015 12:00:00 AM,0,0,20907,16711,20900,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,424.442746285, ,424.442746274143
90,150,"2187,2188,2186,2189,2184,2185,2190",15TH AVE W,14,N,6/16/2015 12:00:00 AM,0,0,43705,20732,23700,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3264.98528884, ,3264.98528884161
91,151,7877,6TH AVE,746,Y,7/26/2018 12:00:00 AM,1003,933,14446,13495,14000,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,306.058689616, ,306.058689623967
92,153,"12049,12050,12051",OLIVE WAY,998,B,9/13/2018 12:00:00 AM,646,1065,11948,11465,12600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,826.323277172, ,826.323277171793
93,154,23422,W HARRISON ST,1105,N,10/31/2018 12:00:00 AM,230,225,2597,2379,2600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.030855695, ,322.030855694935
94,155,"8974,8978,8979,8984,8982,8983,8969,8971,8973,8977,8975,8976,8980,8981,8970,8972",AURORA AVE N,1829,N,11/18/2015 12:00:00 AM,0,0,37401,35129,31500,Estimate,WSDOTSR99, ,, ,,0, ,0, , , ,0,0,0,0,3963.51199978,WSDOTSR99,3963.51199977936
95,156,"1280,1278,1277,1279,12882","1ST AV S BR SB,SR509 SB",20,N,9/3/2015 12:00:00 AM,0,0,30110,29141,0,Study - 13-15,WSDOTSR99, ,, ,,0, ,0, , , ,0,0,0,0,4874.3070623, ,4874.30706229168
96,157,7883,6TH AVE,845,Y,7/9/2014 12:00:00 AM,0,0,7820,7452,7800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,426.368988517, ,426.368988508965
97,158,"11774,11773,11775",MERCER ST,1125,N,10/1/2021 12:00:00 AM,0,0,54009,51745,54000,Study(Normalized21),Sensys, ,, ,,0, ,0, , , ,0,0,0,0,1026.73867925, ,1026.73867925385
98,159,10238,EMERSON NICKERSON RP,1358,N,7/19/2018 12:00:00 AM,849,522,7625,7232,7400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,283.420335833, ,283.420335837452
99,161,14341,E MADISON ST,865,N,2/13/2018 12:00:00 AM,1383,1450,20452,19394,20500,Study, , ,, ,,0, ,0, , , ,0,0,0,0,404.219181489, ,404.219181488868
100,162,16119,N NORTHGATE WAY,1950,N,10/20/2018 12:00:00 AM,2362,2535,37318,36394,37300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,659.697231344, ,659.697231343988
101,163,12773,SENECA ST,741,Y,6/14/2018 12:00:00 AM,469,304,4777,4618,4700,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.090264245, ,322.090264244822
102,164,9477,BROOKLYN AVE NE,1402,N,,0,0,6000,0,6000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,82.2516695285, ,82.2516695285442
103,165,9322,BOREN AVE,1003,B,10/4/2017 12:00:00 AM,2175,1668,25275,24170,25300,Study, , ,, ,,0, ,0, , , ,0,0,0,0,427.46034927, ,427.460349280708
104,167,"6251,6294,6250,6255,163834,6252,6254,6253",4TH AVE S,343,N,6/4/2015 12:00:00 AM,0,0,27972,23389,28000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,5208.72072512, ,5208.72072512432
105,168,12419,RAINIER AVE S,119,N,,0,0,21500,0,21500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1044.52803563, ,1044.52803562777
106,169,"21714,21710,21712,21713,21711,21725,21724",SW ADMIRAL WAY,455,N,2/4/2015 12:00:00 AM,0,0,10521,10379,10500,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3872.56365776, ,3872.56365776578
107,171,"10204,10203,10202",ELLIOTT AVE,897,Y,4/24/2014 12:00:00 AM,0,0,13060,12767,13100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1051.71668763, ,1051.71668763354
108,172,1016,1ST AVE,947,Y,7/23/2018 12:00:00 AM,690,1354,12286,11798,11900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,305.688312807, ,305.688312817618
109,174,"9441,9440,9443,9439,9442",BROADWAY,818,N,,0,0,16500,0,16500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1441.06330111, ,1441.06330110587
110,178,"9005,9004",AURORA AVE N,1099,N,,0,0,10500,0,10500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,859.899294529, ,859.89929452935
111,179,"8091,8092,8094,8093",62ND AVE S,57,N,,0,0,1500,0,1500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,2404.2532762, ,2404.25327620328
112,182,"17382,17381",NE 70TH ST,1680,N,7/21/2015 12:00:00 AM,0,0,7001,6603,7000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,629.419433351, ,629.419433335774
113,183,"7249,7248,701839",5TH AVE,1059,Y,5/17/2018 12:00:00 AM,1155,963,12450,11845,11400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,724.361717695, ,724.361717682136
114,184,"2169,2170,13037,13038","15TH AVE S,SWIFT AVE S",264,N,4/1/2015 12:00:00 AM,0,0,10793,9592,10800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1915.04371755, ,1915.0437175426
115,185,"12421,12422,12420,12423",RAINIER AVE S,96,N,2/19/2015 12:00:00 AM,0,0,22116,21297,22100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1169.36144689, ,1169.36144689744
116,186,8653,AIRPORT WAY S,533,N,10/3/2017 12:00:00 AM,837,512,6777,6315,6800,Study, , ,, ,,0, ,0, , , ,0,0,0,0,367.903494052, ,367.903494063593
117,187,"18348,18350,3589,12829,12831,12827,12828,12832,12830","NW 46TH ST,24TH AVE NW,SHILSHOLE AVE NW",1571,N,3/13/2015 12:00:00 AM,0,0,13171,12292,13200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,4459.1785913, ,4459.17859131575
118,189,"9848,9847",COWEN PL NE,1597,N,,0,0,4000,0,4000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,430.750721892, ,430.750721881863
119,195,12774,SENECA ST,757,Y,12/17/2015 12:00:00 AM,0,0,12200,0,12200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,321.904730624, ,321.904730623564
120,197,22809,SW SPOKANE ST,2016,N,,0,0,8778,0,8800,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,762.883258298, ,762.883258298442
121,198,"14583,14584",E OLIVE WAY,1031,B,3/20/2018 12:00:00 AM,791,1061,14371,14377,14000,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,592.4317503, ,592.43175030001
122,199,"12626,12628,12627",ROOSEVELT WAY NE,1729,N,2/20/2015 12:00:00 AM,0,0,10067,9508,10100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1320.88994221, ,1320.88994220764
123,200,1103,1ST AVE NE,1883,N,11/6/2015 12:00:00 AM,0,0,5836,5475,5800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,837.06370696, ,837.063706960405
124,202,12478,RAVENNA AVE NE,1803,N,10/11/2018 12:00:00 AM,29,51,389,366,400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,591.937312201, ,591.937312204956
125,203,9415,BROAD ST,1065,Y,8/28/2018 12:00:00 AM,473,594,7490,7297,7500,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,161.862720081, ,161.862720081396
126,204,"11066,11065",JEFFERSON ST,691,Y,3/9/2018 12:00:00 AM,398,394,5210,4398,5100,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,643.853891895, ,643.853891882
127,205,"587692,493224","SW KLICKITAT WAY,KLICKITAT AVE SW",404,N,8/29/2018 12:00:00 AM,716,2014,10304,9920,10300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,361.577052762, ,361.577052770405
128,208,"350551,2183,516437,10222","15TH AVE W,ELLIOTT AVE W",1990,N,,0,0,40000,0,32400,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,856.21159656, ,856.21159656483
129,213,7886,6TH AVE,903,Y,7/26/2018 12:00:00 AM,988,836,13107,13750,12700,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,254.758624914, ,254.758624914407
130,214,"16849,16850",NE 45TH ST,1448,N,9/27/2017 12:00:00 AM,2093,2260,34754,34525,34800,Study, , ,, ,,0, ,0, , , ,0,0,0,0,565.108690211, ,565.108690210839
131,215,"10961,10962",HOWELL ST,983,Y,3/4/2015 12:00:00 AM,0,0,14681,13152,14700,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,654.814913141, ,654.814913141364
132,216,12860,SPRING ST,699,Y,7/18/2018 12:00:00 AM,325,346,4828,4732,4700,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,321.799306672, ,321.799306684824
133,217,"9985,9986",DELRIDGE WAY SW,133,N,4/24/2015 12:00:00 AM,0,0,15719,15351,15700,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1309.60864799, ,1309.60864799238
134,220,12778,SENECA ST,792,Y,8/8/2018 12:00:00 AM,653,733,8850,8000,8900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.144055077, ,322.144055084271
